producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,motivo
37302,ME43094,ACIDO IBANDRONICO 150 MG X 1 TABLETA RECUBIERTA,ACIDO IBANDRONICO,Acido Ibandronico Sodio Monohidrato,TABLETAS,MASCOT HEALTH SERIES PVT. LTD.,sin_desc_lab
37303,ME43992,ACIDO TRANEXAMICO 500 MG X 10 TABLETAS RECUBIERTAS,ACIDO TRANEXAMICO,Tranexamico Acido,TABLETAS,SHILPA PHARMA LIFESCIENCES LIMITED,sin_desc_lab
37306,ME42665,ACECLOFENACO 100 MG X 10 TABLETAS RECUBIERTAS,ACECLOFENACO,Aceclofenaco,TABLETAS,THEON PHARMACEUTICALS LTD,sin_desc_lab
37312,ME43707,ACETAMINOFEN 150 MG / 5 ML JARABE,ACETAMINOFEN,Acetaminofen,JARABE,AARTI PHARMALABS LIMITED,sin_desc_lab
37313,ME40083,ACETAMINOFEN 120 MG / 5 ML SOLUCION ORAL,ACETAMINOFEN,Acetaminofen,SOLUCION ORAL,"SM PHARMA, C.A.",sin_desc_lab
37314,ME40084,ACETAMINOFEN 180 MG / 5 ML SOLUCION ORAL,ACETAMINOFEN,Acetaminofen,SOLUCION ORAL,"SM PHARMA, C.A.",sin_desc_lab
37316,ME25466/2,ACETAMINOFEN 500 MG X 10 COMPRIMIDOS,ACETAMINOFEN,Acetaminofen,COMPRIMIDOS,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",sin_desc_lab
37317,ME25466/3,ACETAMINOFEN 500 MG X 30 COMPRIMIDOS,ACETAMINOFEN,Acetaminofen,COMPRIMIDOS,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",sin_desc_lab
37324,ME37095,ACETAMINOFEN 500 MG X 20 TABLETAS,ACETAMINOFEN,Acetaminofen,TABLETAS,"SM PHARMA, C.A.",sin_desc_lab
37325,ME40713,ACETAMINOFEN - CLORFENIRAMINA 125 MG - 1 MG / 5 ML JARABE,ACETAMINOFEN - CLORFENIRAMINA,,JARABE,"SM PHARMA, C.A.",sin_desc_lab
37326,ME39115,ACETAMINOFEN - TRAMADOL 325 MG - 37.5 MG X 10 COMPRIMIDOS,ACETAMINOFEN - TRAMADOL,,COMPRIMIDOS,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",sin_desc_lab
37327,ME34148/3,ACETAZOLAMIDA 250 MG X 20 TABLETAS,ACETAZOLAMIDA,Acetazolamida,TABLETAS,EMPRESA LABORATORIOS MEDSOL,sin_desc_lab
37328,ME34148/2,ACETAZOLAMIDA 250 MG X 10 TABLETAS,ACETAZOLAMIDA,Acetazolamida,TABLETAS,EMPRESA LABORATORIOS MEDSOL,sin_desc_lab
37335,ME43512,ACICLOVIR CREMA 5 %,ACICLOVIR CREMA,Aciclovir - Parafina Blanda - Sodio Hidrogeno Carbonato,CREMA,"JIANGXI SYNERGY PHARMACEUTICAL CO., LTD",sin_desc_lab
37336,HO40581,ACICLOVIR 250 MG POLVO LIOFILIZADO PARA SOLUCION INYECTABLE PARA INFUSION INTRAVENOSA,ACICLOVIR,Aciclovir,INYECTABLE,VITALIS S.A.C.I.,sin_desc_lab
37337,HO1046,MONARC- M 250 U. 1 X 1 AMPOLLA,MONARC- M,,INYECTABLE,CORPORACION COLIMODIO C.A.,sin_desc_lab
37339,ME26178/3,ACICLOVIR 200 MG X 20 TABLETAS,ACICLOVIR,Aciclovir,TABLETAS,LABORATORIO PIFANO C.A.,sin_desc_lab
37340,ME26178/2,ACICLOVIR 200 MG X 10 TABLETAS,ACICLOVIR,Aciclovir,TABLETAS,LABORATORIO PIFANO C.A.,sin_desc_lab
37341,ME26178/4,ACICLOVIR 200 MG X 24 TABLETAS,ACICLOVIR,Aciclovir,TABLETAS,LABORATORIO PIFANO C.A.,sin_desc_lab
37343,ME42505,ACICLOVIR 400 MG X 100 TABLETAS,ACICLOVIR,Aciclovir,TABLETAS,CAPLIN POINT LABORATORIES LIMITED,sin_desc_lab
37347,HO44464,ACIDO ASCORBICO 500 MG / 5 ML SOLUCION INYECTABLE,ACIDO ASCORBICO,Ascorbico Acido,INYECTABLE,"GUIZHOU TIANDI PHARMACEUTICAL CO., LTD",sin_desc_lab
37349,ME1457,RESTYLANE PERLANE LIDOCAINA (ACIDO HIALURONICO - LIDOCAINA CLORHIDRATO) 20 MG / ML - 3 MG / ML GEL INYECTABLE,RESTYLANE PERLANE LIDOCAINA (ACIDO HIALURONICO - LIDOCAINA CLORHIDRATO),Hialuronico Acido,INYECTABLE,Q-MED AB.,sin_desc_lab
37361,ME37466,FUCIDIN H 20 MG - 10 MG / G CREMA.,FUCIDIN H,Acido Fusidico Hemihidrato,CREMA,"LEO LABORATORIES LTD, IRLANDA",sin_desc_lab
37368,ME43334,ADAPALENO - CLINDAMICINA 0.1 % - 1 % GEL,ADAPALENO - CLINDAMICINA,Adapaleno,GEL,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",sin_desc_lab
37369,HO34745,ADRENALINA 1 MG / ML X 5 AMPOLLAS,ADRENALINA,Adrenalina,INYECTABLE,"LABORATORIO BIOSANO, S.A.",sin_desc_lab
37381,ME43288,ALBENDAZOL 400 MG X 10 TABLETAS MASTICABLES,ALBENDAZOL,Albendazol,TABLETAS,CORAL LABORATORIES LTD,sin_desc_lab
37383,ME40605/2,ALBENDAZOL 200 MG X 2 COMPRIMIDOS,ALBENDAZOL,Albendazol,COMPRIMIDOS,"SM PHARMA, C.A.",sin_desc_lab
37384,ME40605/3,ALBENDAZOL 200 MG X 6 COMPRIMIDOS,ALBENDAZOL,Albendazol,COMPRIMIDOS,"SM PHARMA, C.A.",sin_desc_lab
37435,ME42534,AMOXICILINA - ACIDO CLAVULANICO 250 MG - 62.5 MG / 5 ML POLVO PARA SUSPENSION ORAL,AMOXICILINA - ACIDO CLAVULANICO,Amoxicilina - Clavulanico Acido,POLVO PARA RECONSTITUCION,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",sin_desc_lab
37436,ME44341,SINOT CLAV 875 MG – 125 MG X 14 COMPRIMIDOS,SINOT CLAV,Amoxicilina,COMPRIMIDOS,MOMENTA FARMACEUTICA LTDA.,sin_desc_lab
37437,ME43309,CLAVULAM 875 MG - 125 MG TABLETAS RECUBIERTAS,CLAVULAM,Amoxicilina - Clavulanico Acido,TABLETAS,LABORATE PHARMACEUTICALS INDIA LTD,sin_desc_lab
37438,ME43040,AMOXICILINA 500 MG X 10 CAPSULAS,AMOXICILINA,,CAPSULAS,"JIANGXI XIER KANGTAI PHARMACEUTICAL CO., LTD",sin_desc_lab
37439,ME44669,AMOXICILINA - ACIDO CLAVULANICO 500 MG - 125 MG X 10 TABLETAS RECUBIERTAS,AMOXICILINA - ACIDO CLAVULANICO,,TABLETAS,SARTHI PHARMA,sin_desc_lab
37446,ME23745,AMOXICILINA 125 MG / 5 ML SUSPENSION,AMOXICILINA,,SUSPENSION ORAL,"SM PHARMA, C.A.",sin_desc_lab
37447,ME25639,AMOXICILINA 250 MG / 5 ML POLVO PARA SUSPENSION,AMOXICILINA,Amoxicilina,POLVO PARA RECONSTITUCION,SYNTOFARMA S.A.,sin_desc_lab
37454,ME24809,AMPICILINA 250 MG / 5 ML POLVO PARA SUSPENSION ORAL,AMPICILINA,Ampicilina,POLVO PARA RECONSTITUCION,"SM PHARMA, C.A.",sin_desc_lab
37463,ME42609,ANASTROZOL 1 MG X 30 TABLETAS RECUBIERTAS,ANASTROZOL,Anastrozol,TABLETAS,SALUTAS PHARMA GMBH.,sin_desc_lab
37480,ME44489,APITENA 2.5 MG X 30 COMPRIMIDOS RECUBIERTOS,APITENA,Apixaban,COMPRIMIDOS,FARMACEUTICA PARAGUAYA S.A.,sin_desc_lab
37481,ME43847,APIBLOTAN 5 MG X 60 TABLETAS RECUBIERTAS,APIBLOTAN,Apixaban,TABLETAS,SYNOKEM PHARMACEUTICALS LIMITED,sin_desc_lab
37485,ME37211/2,ARANDA 2.5 MG - 50 MG X 10 CAPSULAS,ARANDA,Losartan,CAPSULAS,ACHE LABORATORIOS FARMACEUTICOS S.A.,sin_desc_lab
37486,ME37211/3,ARANDA 2.5 MG - 50 MG X 30 CAPSULAS,ARANDA,Losartan,CAPSULAS,ACHE LABORATORIOS FARMACEUTICOS S.A.,sin_desc_lab
37487,ME37212,ARANDA 5 MG - 100 MG X 10 CAPSULAS,ARANDA,Losartan,CAPSULAS,ACHE LABORATORIOS FARMACEUTICOS S.A.,sin_desc_lab
37510,ME43445,ATAPEC 100 MG X 30 TABLETAS RECUBIERTAS,ATAPEC,,TABLETAS,TITAN LABORATORIES PVT. LTD.,sin_desc_lab
37522,ME37775,ATORVASTATINA 20 MG X 30 TABLETAS RECUBIERTAS,ATORVASTATINA,,TABLETAS,EMPRESA LABORATORIOS MEDSOL,sin_desc_lab
37532,ME29902,AUGMENTIN BID 875 MG - 125 MG TABLETAS RECUBIERTAS,AUGMENTIN BID,Amoxicilina - Clavulanico Acido,TABLETAS,SMITHKLINE BEECHAM LIMITED,sin_desc_lab
37544,ME31564/3,AZITROMICINA 500 MG X 5 COMPRIMIDOS RECUBIERTOS,AZITROMICINA,Azitromicina,COMPRIMIDOS,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",sin_desc_lab
37545,ME31564/2,AZITROMICINA 500 MG X 3 COMPRIMIDOS RECUBIERTOS,AZITROMICINA,Azitromicina,COMPRIMIDOS,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",sin_desc_lab
37546,ME42509,AZITROMICINA 200 MG / 5 ML SUSPENSION ORAL,AZITROMICINA,Azitromicina,SUSPENSION ORAL,COOPER PHARMA LTD,sin_desc_lab
37547,ME42465,AZITROMICINA 500 MG X 5 TABLETAS RECUBIERTAS,AZITROMICINA,,TABLETAS,COOPER PHARMA LTD,sin_desc_lab
37549,ME1645,BACITRACINA 125 MG / 15 G UNGUENTO,BACITRACINA,Bacitracina,UNGUENTO,"PFIZER VENEZUELA, S.A.",sin_desc_lab
37567,ME37878,BETADUO 6.430 MG - 2.631 MG / ML X 1 AMPOLLA,BETADUO,,INYECTABLE,"PHARMAYECT, S.A.",sin_desc_lab
37573,HO36271/2,BETAMETASONA 4 MG / ML X 1 AMPOLLA,BETAMETASONA,Betametasona,INYECTABLE,"PHARMAYECT, S.A.",sin_desc_lab
37574,HO36271/3,BETAMETASONA 4 MG / ML X 10 AMPOLLAS,BETAMETASONA,Betametasona,INYECTABLE,"PHARMAYECT, S.A.",sin_desc_lab
37576,ME42551,BILOL 2.5 MG X 10 TABLETAS RECUBIERTAS,BILOL,,TABLETAS,SWISS PARENTERALS LTD,sin_desc_lab
37587,ME43626,BISACODILO 5 MG X 10 TABLETAS GASTRORRESISTENTES,BISACODILO,Bisacodilo,TABLETAS,SG HEALTHCARE PVT. LTD.,sin_desc_lab
37592,ME42421,BISOPROLOL FUMARATO 10 MG X 30 COMPRIMIDOS RECUBIERTOS,BISOPROLOL FUMARATO,Bisoprolol,COMPRIMIDOS,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",sin_desc_lab
37594,ME44328,BISOPROLOL FUMARATO 5 MG X 30 TABLETAS RECUBIERTAS,BISOPROLOL FUMARATO,Bisoprolol,TABLETAS,RONALD PHARMACEUTICALS PVT. LTD.,sin_desc_lab
37595,ME43390,BISOPROLOL FUMARATO 1.25 MG X 15 TABLETAS RECUBIERTAS,BISOPROLOL FUMARATO,,TABLETAS,SYNOKEM PHARMACEUTICALS LIMITED,sin_desc_lab
37614,ME26069,CLORHIDRATO DE BROMEXINA 8 MG / 5 ML JARABE.,CLORHIDRATO DE BROMEXINA,Bromhexina,JARABE,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",sin_desc_lab
37615,ME40260,BROMEXINA CLORHIDRATO 4 MG / 5 ML JARABE,BROMEXINA CLORHIDRATO,,JARABE,"SM PHARMA, C.A.",sin_desc_lab
37616,ME35158,BROMHEXINA CLORHIDRATO 8 MG / 5 ML JARABE,BROMHEXINA CLORHIDRATO,,JARABE,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",sin_desc_lab
