producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,categoria,fuente,gates,url_en_ledger,desc_candidata,foto_candidata,sigla,clave_real,lab_real,lab_nuevo,nota
37296,ME4629/2,ACIDO FOLICO 5 MG X 10 COMPRIMIDOS,ACIDO FOLICO,Folico Acido,COMPRIMIDOS,MEGALABS S.A.,generico_otro_lab,cobeca,lab_generico,,ACIDO FOLICO TAB 5MG X10 MEY,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20331.jpg,MEY,MEY,"LABORATORIOS SIEGFRIED, S.A.",no,
37302,ME43094,ACIDO IBANDRONICO 150 MG X 1 TABLETA RECUBIERTA,ACIDO IBANDRONICO,Acido Ibandronico Sodio Monohidrato,TABLETAS,MASCOT HEALTH SERIES PVT. LTD.,generico_otro_lab,cobeca,lab_generico,,AC IBANDRONICO TAB 150MG X1 ZUZU,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52763.jpg,ZUZU,ZUZU,"LABORATORIOS ZUZU, C.A.",si,
37303,ME43992,ACIDO TRANEXAMICO 500 MG X 10 TABLETAS RECUBIERTAS,ACIDO TRANEXAMICO,Tranexamico Acido,TABLETAS,SHILPA PHARMA LIFESCIENCES LIMITED,generico_otro_lab,cobeca,lab_generico,,AC TRANEXAMICO TAB 500MG X10 KMP,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53498.jpg,KMP,KMP,"KMPLUS PHARMACEUTICALS, C.A.",si,
37306,ME42665,ACECLOFENACO 100 MG X 10 TABLETAS RECUBIERTAS,ACECLOFENACO,Aceclofenaco,TABLETAS,THEON PHARMACEUTICALS LTD,generico_otro_lab,cobeca,lab_generico,,ACECLOFENACO TAB DISP 100MG X10 CR MT,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53399.jpg,CR MT,CR MT,"CASA DE REPRESENTACION MT GLOBAL CARE, C.A.",si,
37311,ME43639/4,ACETAMINOFEN 650 MG X 30 TABLETAS,ACETAMINOFEN,Acetaminofen,TABLETAS,LABORATORIOS L.O. OFTALMI C.A.,generico_otro_lab,cobeca,lab_generico,,ACETAMINOFEN COMP 650MG X30 LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/15591.jpg,LETI,LETI,"LABORATORIOS LETI, S.A.V.",no,
37312,ME43707,ACETAMINOFEN 150 MG / 5 ML JARABE,ACETAMINOFEN,Acetaminofen,JARABE,AARTI PHARMALABS LIMITED,generico_otro_lab,farmanselmo,lab_generico,,ACETAMINOFEN JARABE 150MG/5ML x120ML LA SANTE (E),https://pccentro.net.ve/img/s/1/8/1/9/5/18195-large_default.webp,LA SANTE,LA SANTE,"LABORATORIO LA SANTE, C.A.",no,
37313,ME40083,ACETAMINOFEN 120 MG / 5 ML SOLUCION ORAL,ACETAMINOFEN,Acetaminofen,SOLUCION ORAL,SM PHARMA C.A.,generico_otro_lab,cobeca,lab_generico,,ACETAMINOFEN SOL 120MG/5ML 120ML BIOQ,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53087.jpg,BIOQ,BIOQ,"BIOQUIMICA INTERNACIONAL, C.A.",si,
37314,ME40084,ACETAMINOFEN 180 MG / 5 ML SOLUCION ORAL,ACETAMINOFEN,Acetaminofen,SOLUCION ORAL,SM PHARMA C.A.,generico_otro_lab,cobeca,lab_generico,,ACETAMINOFEN SOL 180MG/5ML 120ML LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51788.jpg,LETI,LETI,"LABORATORIOS LETI, S.A.V.",no,
37316,ME25466/2,ACETAMINOFEN 500 MG X 10 COMPRIMIDOS,ACETAMINOFEN,Acetaminofen,COMPRIMIDOS,LABORATORIOS SPEFAR VENEZOLANOS S.A.,generico_otro_lab,cobeca,lab_generico,,ACETAMINOFEN COMP 500MG X10 LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22931.jpg,LETI,LETI,"LABORATORIOS LETI, S.A.V.",no,
37317,ME25466/3,ACETAMINOFEN 500 MG X 30 COMPRIMIDOS,ACETAMINOFEN,Acetaminofen,COMPRIMIDOS,LABORATORIOS SPEFAR VENEZOLANOS S.A.,generico_otro_lab,farmanselmo,lab_generico,,ACETAMINOFEN 500MG x30 TABLETAS OFTALMI (E),https://pccentro.net.ve/img/s/8/7/8/2/6/87826-large_default.webp,OFTALMI,OFTALMI,"LABORATORIOS L.O. OFTALMI, C.A.",no,
